* Funky input line bahážat	bahážat	+?
* Funky input line badjosat	i høyden	XXX
* Funky input line buotdin	kaikki tyynni	XXX
* Funky input line gas cō: puskii (koiralle) XXX
* Funky input line peaila	neljänneslitran mitta	XXX
* Funky input line preantár	kirjanpainaja	XXX
* Funky input line preanttidit	painaa (kirjoja)	XXX
dávggasvuohta	joustavuus& sitkaus& joustavuus& sitkaus	N	+?
Dávggát	Otava	N	N
dávggut	rasitukset	N	+?
dávgudit	liottaa (juurisäikeitä)	V	+?
dávgut	retuuttaa (esim. koiranpentua)& venytellä (jalkojaan)& retuuttaa (esim. koiranpentua)& venytellä (jalkojaan)	V	+?
dávjjit	useammin	+?	+?
davkasit	peittyä& soveltua peitettäväksi& peittyä& soveltua peitettäväksi	V	+?
davkkildit	näpistellä	V	V
dávllat	täpläkylki (porovaatimesta)	N	+?
davrát	olla jssak kurttuisena	V	+?
davrragit	kurttaantua	V	+?
davrras	kurttuinen	A	A
dávttat	(kukkiva) väinönputki	N	+?
davveliidda	jonkin verran pohjoisemmas& (R) jonkin verran lännemmäs& jonkin verran ulommas (vuonossa tai ulapalla)& jonkin verran pohjoisemmas& (R) jonkin verran lännemmäs& jonkin verran ulommas (vuonossa tai ulapalla)& jonkin verran pohjoisemmas& (R) jonkin verran lännemmäs& jonkin verran ulommas (vuonossa tai ulapalla)	Adv	+?
davvi	pohjoinen& länsi (R)& pohjoinen& länsi (R)	N	+?
dávžat	soudella	V	V
dávžut	soudella	V	V
deabbut	lientyä	V	V
deaddu	paino& paine& painotus& paino& paine& painotus& paino& paine& painotus	N	+?
deafan	roisi (puheissaan)	+?	+?
deaffat	puhua roisisti	V	+?
deahkki	lihas	N	N
deahpánit	litistyä	V	V
deaividit	kohdata (jtak)	V	+?
deaivil	tarkkakätinen (ampumaan)& hyvä suunnistamaan& osuva& naseva& tarkkakätinen (ampumaan)& hyvä suunnistamaan& osuva& naseva& tarkkakätinen (ampumaan)& hyvä suunnistamaan& osuva& naseva& tarkkakätinen (ampumaan)& hyvä suunnistamaan& osuva& naseva	A	+?
deajihit	välkähtää	V	V
dealgi	härkylä	N	N
dealli	tela (veneelle)	N	+?
dealljá	grönlanninhylje	N	+?
deamihit	tömähtää	V	V
deapmat	tömistä	V	V
deapma	töminä	N	N
dearba-	dearbastihkka: heiluri	+?	+?
dearga	törky	N	+?
dearistit	varustaa tereellä& terittää& terästää& varustaa tereellä& terittää& terästää& varustaa tereellä& terittää& terästää	V	+?
dearvvašmeahttun	epäterveellinen	A	A
dearvva	terve	Interj	A& Interj
deaškalit	lätkäyttää	V	V
deaškasit	lätkähtää	V	+?
deaškašuvvat	lätkähtää	V	+?
deaškkas	lätke	N	+?
deaškkastit	lätkäistä	V	V
deaškkihit	lätkähtää	V	+?
deaškkuhit	lätkytellä	V	+?
deaškut	lätkiä	V	V
deaššastit	heittää leipiä (kivellä)	V	+?
deaššat	lipua	V	V
deaššut	tulla heiveröiseksi	V	+?
deasttaheapme	häikäilemätön	A	+?
deattáldat	jälkiruoka& (langallinen) painosauma& jälkiruoka& (langallinen) painosauma	N	+?
deattašit	painella	V	V
deavdalit	täytellä& yrittää täyttää& täytellä& yrittää täyttää	V	+?
deavddašit	täytellä (vähin erin)	V	+?
deavdda	täyte	N	+?
deavdemeahttun	täyttymätön	A	+?
deavdilit	täyttää (nopeasti)	V	+?
deavkat	himmeä	A	A
deavut	halli (hylje)	N	+?
deddot	tulla painetuksi& nähdä painajaisia& tulla painetuksi& nähdä painajaisia	+?	+?
defineret	määritellä	V	V
definišuvdna	määritelmä	N	N
deivvolaš	satunnainen	+?	A
dekčolas	rusenteleva	+?	+?
deklamašuvdna	lausunta	N	N
delegašuvdna	valtuuskunta	N	N
delodit	kaaviskella (jiekiöllä)	V	+?
deminutiiva	deminutiivi	N	N
deret	keuhkotauti	N	N
derpmoš	törmäpääsky	N	N
deškkodit	lätkiä (pitkään)	V	+?
destilleret	tislata	V	V
devdojupmi	täyttymys	N	N
devkkodit	himmetä	V	V
diagovva	diakuva	N	N
diagrámma	diagrammi	N	N
dialeakta	murre	N	+?
diamánta	timantti	N	N
diamehtar	halkaisija	N	N
dibmet	pehmittää	V	V
didaktihkka	didaktiikka	N	N
didnu	piikivi	N	N
diđolaš	tietäväinen& tietoinen& tunnettu& tietäväinen& tietoinen& tunnettu& tietäväinen& tietoinen& tunnettu	A	+?
diđošteaddji	tutkija	N	N
dieđalaš	tieteellinen	A	A
dieđa	tiede	N	+?
die-	die-dat: se (josta meillä oli puhe)& die-diet: se (josta sinä mainitsit)& die-doppe: siellä niin (josta meillä oli puhe)& die-dat: se (josta meillä oli puhe)& die-diet: se (josta sinä mainitsit)& die-doppe: siellä niin (josta meillä oli puhe)& die-dat: se (josta meillä oli puhe)& die-diet: se (josta sinä mainitsit)& die-doppe: siellä niin (josta meillä oli puhe)	+?	+?
dieđus	tiettävä	A|Adv	A
diehke	tänne	Adv	Adv
diehtemeahttun	tietämätön	A	+?
diehtemeahttunvuohta	tietämättömyys	N	N
diehttevassii	tiedoksi	Adv	+?
dieiggo	siinä (jossakin puhuteltavan lähellä)	Adv	+?
dieigi	(harmaa)kaihi	N	+?
dieigut	saada kaihi (silmistä)	V	+?
dieigu	värttinäluu	N	N
dielgŋat	kyllääntyä	V	V
dielvvásmuvvat	tasoittua (maasta)	V	+?
dielvvis	tasainen (maasta)	A	+?
dieppidit	lähentää (puhuteltavaa kohti)	V	+?
dierbut	haparoida (eteenpäin)& hölöttää& haparoida (eteenpäin)& hölöttää	V	+?
dierdidit	sättiä	V	V
diesánaga	siihen paikkaan (lähelle puhuteltavaa)	Adv	+?
diesa	siihen (lähelle puhuteltavaa)	+?	+?
dieskkardit	varustaa karvanahkaisella vuorilla	V	+?
dievamus	eniten (jtak jssak)	Adv	+?
dievaslaš	täydellinen	A	A
dievasmahttit	täydentää	V	V
dievasmeahttun	epätäydellinen	A	A
dievat	paljon enemmän (jtak jssak)	Adv	+?
dievvasit	täydelleen	+?	Adv
diftoŋga	diftongi	N	N
diggojahkes	käräjöivä	+?	+?
dihkkadit	tehdä täiseksi	V	+?
dihkkái	täinen	+?	A
dihkká	tikka (tiemerkki)	N	+?
dihkkat	saada täitä	V	+?
dihkki	täi	N	N
dihkku	(S) (tuli)tikku	N	+?
dihtorastit	laskea tai työskennellä tietokoneella	V	+?
dihttes	tietäväinen	A	A
diidet	(N) ottaa kymmenykset (porokarjasta& myös fig.)& (N) ottaa kymmenykset (porokarjasta& myös fig.)	V	+?
diimmohala	minuutilleen	+?	+?
dikšu	hoitaja	N	N
dikšu	hoito	N	N
dikšun	hoito& huolto& (esim. nahan) muokkaus& hoito& huolto& (esim. nahan) muokkaus& hoito& huolto& (esim. nahan) muokkaus	N	+?
diktáhtor	diktaattori	N	N
diktár	runoilija	N	N
dikteret	sanella	V	V
diktet	runoilla	V	V
dilálaš	kiireetön	+?	+?
dilddas	hyllyvä	A	+?
dildu	hyytelö	N	N
dilket	tilkitä	V	V
dilla	tilli	N	N
dillet	ommella koristeverkoja (lapintakkiin)	V	+?
dilot	(sytyke)halko (sytytettäessä muiden alla poikittain oleva)& tulisijassa liesikiviä korvaava pölkky (koivua)& (sytyke)halko (sytytettäessä muiden alla poikittain oleva)& tulisijassa liesikiviä korvaava pölkky (koivua)	N	+?
dimádas	pehmike	N	+?
dimádat	pehmeä keli (jolloin hangen pinta on pehmennyt)	N	+?
dimbbar	tukki	N	N
dimihit	pehmetä (äkkiä)& tuntua (äkkiä) pehmeältä& pehmetä (äkkiä)& tuntua (äkkiä) pehmeältä	V	+?
dimiidit	tuntua pehmeältä	V	+?
dimistit	tuntua pehmeältä	V	+?
dines	tienesti	N	N
diŋgojeaddji	tilaaja	N	N
dioksiida	dioksidi	N	N
dipmat	pehmetä	V	V
dirbbot	hätäilevä	+?	+?
dirči	nakupelle (erit. lapsesta)	N	+?
diret	tiirikka	N	N
diškkanas	roiskahdus	N	N
diškkas	roiske	N	N
diva	korjaustarvike& juoksute& korjaustarvike& juoksute	N	+?
divas	saita	A	A& N
divaštallat	kinastella	V	V
divodus	korjaus	N	N
divrái	jossa on itikoita	+?	+?
divriluvvat	tulla hyönteisiä täyteen	V	+?
divrrašit	pitää (kovin tai liian) kalliina	V	+?
divrrasvuohta	kalleus	N	N
divrut	kallistua (hinnaltaan)	V	+?
divsket	tiuskahtaa	V	+?
divskkodit	tiuskia (jatkuvasti)	V	+?
divskut	tiuskia	V	V
divššodit	hoidella	V	V
divttásmit	tiivistyä	+?	V
divttásmuvvat	tiivistyä	V	V
divvosupmái	korjatuksi	Adv	+?
divvulit	korjata (nopeasti)& laittautua& korjata (nopeasti)& laittautua	V	+?
divvumassii	korjatuksi	Adv	+?
doadjásit	taittua& soveltua taitettavaksi& taittua& soveltua taitettavaksi	V	+?
doahttalus	(määräysten) noudattaminen	N	+?
doahttu	tutti	N	N
doaibat	riutua	V	V
doaimmaheapme	toimeton& aloitekyvytön& toimeton& aloitekyvytön	A	+?
doaimmahuvvat	tulla toimettomaksi& tulla aloitekyvyttömäksi& tulla toimettomaksi& tulla aloitekyvyttömäksi	V	+?
doaimmalaš	toimelias	A	A
doaisttážii	toistaiseksi	Adv	Adv
doaivvuheapme	toivoton	A	+?
doaivvuhisvuohta	toivottomuus	N	N
doaivvuhit	toivoskella& toivottaa& toivoskella& toivottaa	V	+?
doajašit	taitella (vähin erin)	V	+?
doajihit	päästää taittumaan& päästää (esim. hevonen) putoamaan jäihin& päästää taittumaan& päästää (esim. hevonen) putoamaan jäihin	V	+?
doaktáruššat	tohtoroida	V	V
doaladahkes	pidättelevä	A	+?
doalli	pitävä& tenivä& pitävä& tenivä	N	+?
doalvái	hyvä ravaamaan	+?	+?
doalvu	viejä	N	N
doalvvuhit	saada tai panna viemään& vietellä (pahaan)& soveltua vietäväksi& saada tai panna viemään& vietellä (pahaan)& soveltua vietäväksi& saada tai panna viemään& vietellä (pahaan)& soveltua vietäväksi	V	+?
doantá	pahus	Interj|N	N
doaráskit	joutua poikittain (esim. vene virrassa)	V	+?
doarástuvvat	joutua poikittain (esim. vene virrassa)	V	+?
doarggástus	järistys& tärinä& järistys& tärinä	N	+?
doarjalus	tuki (fig.)	N	+?
doarostit	puskea (kerran)& tapella (vähän)& törmätä& puskea (kerran)& tapella (vähän)& törmätä& puskea (kerran)& tapella (vähän)& törmätä	V	+?
doarostuvvat	aikoa puskea& haluta tai aikoa tapella& joutua tappeluun& aikoa puskea& haluta tai aikoa tapella& joutua tappeluun& aikoa puskea& haluta tai aikoa tapella& joutua tappeluun	V	+?
doarrát	ruveta tappelemaan	V	+?
doarrideaddji	takaa-ajaja	N	N
doarškalit	läimäyttää	V	V
doarškit	läimähdellä	V	V
doaškalit	läimäyttää	V	V
doavhli	vesirakkula	N	N
doavki	tyhmä	A	A
doavkivuohta	tyhmyys	N	N
doavkkan	houkka	N	A& N
doavkkášit	pitää tyhmänä	V	+?
doavkkas	tyhmähkö	A	+?
dobbelaš	sikäläinen	A	A
dobbeliidda	(jonkin verran) sinnemmäs	Adv	+?
dobbelii	sinnemmäs	Adv	Adv
doggi	juoksutusmaha	N	N
dohkálaš	kelvollinen& pätevä& kelvollinen& pätevä	A	+?
dohppa	tuppi	N	N
doiste	toiste	Adv	Adv& N
dokkáraš	tuollainen (kuin tuo tuolla kaukana)	A|Pron	+?
dokkár	tuollainen (kuin tuo tuolla kaukana)	Pron	+?
dokko	tuolta (kaukaa ohi)	Adv	+?
dokŋadit	turvottaa (vedenpitäväksi)	V	+?
doksái	sammaltava	+?	+?
dolá	entinen	A	A& N
dolaheapme	lämmittämätön (huoneesta)& tuleton& lämmittämätön (huoneesta)& tuleton	A	+?
dolalaš	salamannopea	+?	A
dolá	milloinka (tulevaisuudessa tai kuluvana päivänä)	A	+?
dolddas	kulunut (kesälaitumesta)	A	+?
doldet	kuluttaa (kesälaidun) lähes loppuun	V	+?
doldi	kulunut kesälaidun	N	+?
doldudit	aiheuttaa kesälaitumen kuluminen lähes loppuun	V	+?
doleš	meteori	N	N
dolggáhuvvat	ryvettyä sulkiin	V	+?
dollarieban	tulikettu	N	+?
dollestit	pysähtyä (jksik aikaa)	V	+?
dollot	tulla pidetyksi	+?	+?
dolvviidit	ruveta ravaamaan (kiivaasti)	V	+?
doppimustá	kaukaisimmillaan	Adv	+?
doppit	kaukaisempi	Adv	+?
dordnu	ovi	N	N
dorránit	lähteä liikkeelle pienikasvuisena	V	+?
dorrolas	tappelunhaluinen& puskuri (eläimestä)& tappelunhaluinen& puskuri (eläimestä)	A	+?
dorvádit	turvautua	V	V
dorve	torvi	N	N
dorvu	turva	N	N
dorvvastit	turvata& turvautua& turvata& turvautua	V	+?
dorvvolaš	turvallinen	A	A
dorvvuheapme	turvaton& masentunut& turvaton& masentunut	A	+?
dorvvuhuvvat	tulla turvattomaksi& masentua& tulla turvattomaksi& masentua	V	+?
dovdameahttun	tuntematon	A	+?
dovddadit	tuntea toisensa	V	+?
dovddastit	tunnustaa	V	V
dovddastus	tunnustus	N	N
dovddolaš	tunnollinen	+?	A
dovdi	asiantuntija	N	N
dovdil	hyvä tuntemaan	A	+?
dovdosaččat	tutut keskenään	N	+?
dovdot	tuntua& ilmetä& tuntua& ilmetä	V	+?
dovkodat	tyhmyys	N	N
dovtta	kuikka	N	N
dubmehus	tuomitseminen& kirous& tuomitseminen& kirous	N	+?
dubmet	tuomita& päättää& tuomita& päättää	V	+?
duđaheapme	tyytymätön	A	+?
duđahit	tyydyttää	V	V
duđan	kuhnailija& hössöttäjä& kuhnailija& hössöttäjä	N	+?
duđastuvvat	aikoa tai tahtoa tyytyä& ruveta tyytymään& aikoa tai tahtoa tyytyä& ruveta tyytymään	V	+?
duđđái	kuhnaileva& hössöttävä& kuhnaileva& hössöttävä	+?	+?
duđđalas	kuhnaileva& hössöttävä& kuhnaileva& hössöttävä	+?	+?
dudnar	tynnyri	N	N
duggolas	takkuuntuva	+?	+?
duggu	mälli	N	N
dugordallat	leikkiä	V	V
duhastit	tuulastaa	V	V
duhát	tuhat	Num	Num& N
duhkaraddi	leikkijä	N	N
duhkká	nukke	N	N
duhkodagas	ulottuvilla	Adv	Adv
duhkodahkii	ulottuville	Adv	Adv& Po
duhkoraddat	leikkiä	V	V
duhkoraddi	leikkijä	N	N
duhkorahkes	leikkisä	+?	A
duhkordallalas	duhkordallalas: leikkisä	+?	+?
duhkordallat	duhkordallat: leikkiä	V	+?
duhkordalli	duhkordalˈli: leikkijä	N	+?
duhranas	porahdus	N	+?
duhtadit	tyydyttää	V	V
duhtavašvuohta	tyytyväisyys	N	N
duhtodat	totuus	N	N
duhtosii	tosissaan	+?	Adv
Duiska	Saksa	N	N
dukta	lannoite	N	+?
duktet	lannoittaa	V	V
dulbet	tasoittaa& latistaa& tasoittaa& latistaa	V	+?
dulbodat	tasaisuus	N	N
dulkon	tulkinta	N	N
dullejaš	tuliainen	N	N
dulmmodit	poljeskella	V	+?
dulmmohat	(tallattu) tanner	N	+?
dulpái	tylppä	+?	A
dulppagit	tylpistyä	V	V
dulppas	tylppä	A	A
dulppil	tylppänä (väliaikaisesti)	Adv	+?
dulppul	tylppänä (väliaikaisesti)	+?	+?
dulpu	tylppä XXX  dulpi	+?	+?
dulvi	tulva	N	N
dumá	tuuma (mitta)	N	+?
dumpái	sammaltava	A	+?
dumpet	reputtaa (kokeessa)	V	+?
dumssagit	vanua	V	V
dumsui	vanuttuva	A	+?
duŋgadassii	tönköksi	Adv	+?
duŋgasii	tönköksi	+?	+?
duŋgá	tunkio	N	N
duobbeliidda	jonkin verran tuonnemmas	Adv	+?
duobbelii	tuonnemmas	Adv	Adv
duođašteaddji	todistaja	N	N
duoddil	yksin viihtyvä (porosta)	A	+?
duoddudit	panna tai saada sietämään& panna tai saada uskaltamaan& panna tai saada sietämään& panna tai saada uskaltamaan	V	+?
duoddul	sietokykyinen& uskalias& sietokykyinen& uskalias	+?	+?
duođi	tuota	Adv	Adv& Pcle
duoggái	takkuinen	+?	A
duoggi	takku	N	N
duoggudit	takkuunnuttaa	V	+?
duoggut	takkuuntua	V	V
duogurdit	leikkiä	V	V
duogur	leikki	N	N
duohččagasas	säästössä	Adv	+?
duohččagassii	säästöön	Adv	+?
duohččasii	säästöön	Adv	+?
duohččasis	säästössä	Adv	+?
duohččat	säästää	V	V
duohčču	säästö	N	N
duohko	tuonne	Adv	Adv
duohpi	huopa (aines)& vanutus (tila)& huopa (aines)& vanutus (tila)	N	+?
duohttáge	todella	Adv	Adv
duohttige	todella	+?	Adv
duoid-duohko	sinne tänne	Adv	+?
duojáldat	teelmä	N	N
duokkas	takkuuntuva& rujo& takkuuntuva& rujo	A	+?
duolbasii	levälleen	+?	Adv
duoldalas	helposti kiehuva& puhelias& helposti kiehuva& puhelias	+?	+?
duolmmaheaddji	(tamman) astuttaja	N	+?
duolmmastat	polkaisu& poljin& polkaisu& poljin	N	+?
duolmmastuvvat	aikoa astua (oriista)	V	+?
duoltu	tusina	N	N
duolvalas	liantunteva (esim. vaatekappaleesta)	+?	+?
duolvil	liantunteva (esim. vaatekappaleesta)	A	+?
duolvvár	sottapytty	N	N
duolvvašit	pitää likaisena	V	+?
duopma	(pohjan)tuomi	N	+?
duopmu	tuomio	N	N
duoppimustá	kaukaisimmillaan (tuolla)	Adv	+?
duoppit	tuonnempi	Adv	A
duoraldat	niittaus& poimutus& niittaus& poimutus	N	+?
duosa	tuohon	+?	Adv
duostil	uskalias	A	A
duosttoheapme	huono ottamaan koppia& haluton torjumaan& huono ottamaan koppia& haluton torjumaan	A	+?
duostul	taitava ottamaan koppia	+?	+?
duotka	ruokasula	N	N
duovgudit	vieroittaa (vasa emästään)	V	+?
duovli	taula (taulomiseen)	N	+?
durbbon	tarvoin	N	+?
durján	sottapytty	N	N
durji	sottapytty	N	N
durjjas	sottainen	A	A
durrot	tulla niitatuksi& tulla poimutetuksi& tulla niitatuksi& tulla poimutetuksi	+?	+?
dusen	tusina	+?	N
duset	tusina	+?	N
du	sinä	+?	Pron
duskái	tuskainen& ärtyisä& tuskainen& ärtyisä	+?	+?
duškalit	polskauttaa	V	V
duškidit	polskia	V	V
duskkástuvvat	tuskastua& ärtyä& tuskastua& ärtyä	V	+?
duskkas	ärtyisä	A	A
duššástuvvat	turhautua	V	V
dutkán	ripsu (raanun valmiiksi kudotun kankaan reunassa)	N	+?
dutkan	tutkiminen& tutkimus& tutkinto& tutkiminen& tutkimus& tutkinto& tutkiminen& tutkimus& tutkinto	N	+?
dutkot	tulla tutkituksi	+?	+?
dut	tuo (tuolla oikein kaukana)	+?	+?
duvdda	tuki& rajoitin& tuki& rajoitin	N	+?
duvhllár	tuhlari	N	N
duvhllidit	tuhlata	V	V
duvka	pöytäliina	N	N
duvssár	haalija	N	+?
duvttaiduvvat	lannoittua	V	V
eadjálas	erehtyväinen (jkun suhteen)	+?	+?
eadjalit	erehtyä toisistaan	V	+?
eadjit	erehtyä (jksta)	V	+?
eadnebealle	äitipuoli	N	N
eadnivuohta	äitiys& äidillisyys& äitiys& äidillisyys	N	+?
eahccil	mieltynyt& seurallinen& mieltynyt& seurallinen	A	+?
eahkeduvvat	tulla ilta& joutua illan yllättämäksi& tulla ilta& joutua illan yllättämäksi	V	+?
eahpegulolaš	tottelematon	A	+?
eahpeveaddji	huonovointinen& raskaana oleva& huonovointinen& raskaana oleva	A	+?
eahpidahtti	epäilyttävä	A	A
eaibmudit	koheltaa	V	V
eaidadit	vieraannuttaa	V	V
eai	eivät	+?	+?
eaiggáduššat	omistaa	V	V
ealabáiki	(eläinten suosima) laidunalue	N	+?
ealageardi	käytös	N	N
eala-	käyt. yhdyssanoissa	+?	+?
ealas	elinvoimainen& elollinen& elinvoimainen& elollinen	A	+?
ealet	elukka	N	N
ealjoheapme	toimeton	A	+?
eallámuš	elanto	N	N
eallilan	iäkäs	A	+?
eallisilba	elohopea	N	N
eambu	enemmän& pikemminkin& enemmän& pikemminkin	+?	+?
eamidastalit	emännöidä (usein tai useita esineitä)	V	+?
eamidastit	emännöidä	V	V
eanaiduvvat	maatua	V	V
eanášit	pitää (liian) paljona	V	+?
eanemusat	enintään	Adv	Pcle
eanet	enemmän	A|Adv	Adv
eanet	useampi	A|Adv	Pron
eaŋkal	killinki (vanha raha)& yksinkertainen& killinki (vanha raha)& yksinkertainen	A	+?
eapmi	emi	N	N
earáhuhttit	muuttaa (toisenlaiseksi)	V	+?
earáhus	muutos	N	N
earánastit	tehdä tarpeensa	V	+?
earbmálahttit	alkaa sataa hienoa lunta	V	+?
earbmut	sataa (hienoa lunta)	V	+?
earránaddat	erota (toisistaan)	V	+?
earret	paitsi	Pr	Adv& Po& Pcle
earta	herne	N	N
earuhus	erotus& erottaminen& erotus& erottaminen	N	+?
eaškálahttit	nyrjäyttää	V	V
eaškáleapmi	nyrjähdys	N	N
eaškálit	nyrjähtää	V	V
eaškáluhttit	nyrjäyttää	V	V
eaškálupmi	nyrjähdys	N	N
easkkážii	äskeiseen asti	+?	+?
eassa	ässä (korteissa)	N	+?
eastašuvvat	estyä	V	V
eastat	estyä	V	V
eastta	este	N	N
eat	emme (pl.)	+?	+?
eatnálaš	äidillinen	A	A
eatnanlaš	maallinen	A	A
eatneheapme	äiditön	A	+?
eatnehit	ennättää	V	V
eavas	itkunherkkä	A	+?
eavddáruššat	tuhlailla	V	V
eavru	hapro	N	N
eavru	(kalan) vatsanalus	N	+?
egeš	(isää vanhemman) setänsä kanssa	Adv	+?
ehpet	ette (pl.)	+?	+?
eissemearka	esimerkki	N	N
ellui	jolla on suuri karja tai (poro)tokka	+?	+?
endena	kunnon (indekl.)	A	+?
erdui	ärtyisä	A	A
erttet	kylki (sisäpuoli)& (teuraan) kylkipala& kylki (sisäpuoli)& (teuraan) kylkipala	N	+?
eske	äsken	Adv	Adv
etneš	äitinsä kanssa	Adv	+?
ettet	etikka	N	N
eváŋgiljon	evankeliumi	N	N
evttolaš	ehdollinen& tahallinen& ehdollinen& tahallinen	+?	+?
fádda	raaka (mastossa)	N	+?
fádnet	kerätä väinönputkia	V	+?
fággádit	painia	V	V
fággálaga	sylipainissa keskenään	Adv	+?
faggi	koukku	N	N
fággi	(syli)paini	N	+?
faggut	koukkailla	V	+?
fagŋát	olla jssak kaula pitkänä	V	+?
fáhkan	miekkavalas	N	N
fáippádit	huitaista (äkkiä)	V	+?
fáippas	huiske	N	N
fáippihit	huiskahtaa	V	V
fáippodit	huitoa (jatkuvasti)	V	+?
fákkáskit	ruveta painimaan (keskenään)	V	+?
fakkastit	koukata	V	V
fakŋalahttit	kurkottaa	V	V
fakŋalit	kurkottautua (kerran)	V	+?
fakŋut	venytellä (itseään)	Adv|V	+?
fákta	vahti& päivystys& vahti& päivystys	N	+?
fáladit	tarjoilla& yrittää tarjota& tarjoilla& yrittää tarjota	V	+?
fáladit	tarjoutua	V	V
falan	nopeajalkainen henkilö	N	+?
fálbmái	jolla on suuret ryntäät (juhdasta)	+?	+?
fálli	(jalo)haukka	N	+?
fálmmáiduvvat	kouliintua (poro valjaisiin)	V	+?
fanccis	vene (leik.)	N	+?
fánen	piru (kirosana)	N	+?
faŋádit	kurkottaa (kerran)	V	+?
faŋaldahttit	kurkottaa (kerran)	V	+?
fáŋga	vanki	N	N
faŋket	kurkottaa kaulaansa (kerran)	V	+?
faŋki	kurokaulainen olio	N	+?
faŋkkagit	tulla kurokaulaiseksi	V	+?
faŋkkas	kurokaulainen	A	+?
faŋkut	kaula pitkänä	Adv|V	+?
fánten	pahus	Interj|N	N
fárju	(purje)kangas	N	+?
fárppal	tynnyri	N	N
fárvealla	hyvästit	+?	+?
fáškalit	sivaltaa (esim.köydellä)& selättää& sivaltaa (esim.köydellä)& selättää	V	+?
faskár	varasteleva	A	A
fáskat	kinostaa (tuulen ajamaa lunta)	V	+?
fasket	raapaista	V	V
faskkanas	raape	N	+?
fáskka	(tuulen ajama) kinos	N	+?
fáskkir	(pieni) voikauha	N	+?
faskkohat	raape& raaputettu kohta& raape& raaputettu kohta	N	+?
fastodat	rumuus	N	N
fastudit	rumentaa	V	V
fástu	paasto	N	N
fastut	rumentua	V	V
fátmi	syli	N	N
fávlánit	loitota rannasta	V	+?
fávleliidda	jonkin verran ulommas rannasta	Adv	+?
fávlil	ulompaa (rannasta katsottuna)	Adv|Pr|Po	+?
fávllibuš	vähän ulompi (rannasta katsottuna)	A	+?
fávllidit	loitontaa (rannasta)	V	+?
fávllit	ulompi (rannasta katsottuna)	+?	+?
fávre	hyväkäs	N	+?
fávrrošit	pitää (jkta) kauniina	V	+?
feaddi	juurisäie	N	+?
feaila	virhe	N	N
feallá	(etelänorjalainen) merikalastaja	N	+?
fearahas	(veisto)lastu	N	+?
fearahat	veistetty kohta	N	+?
feardna	(kahvi- tai liha)mylly	N	+?
fearrat	veistää (kirveellä tai isolla puukolla)	V	+?
feasku	(käsi)laukku	N	+?
feasttašit	hinailla	V	+?
feavli	(suopungin) kehä& koipinahan reikä& (suopungin) kehä& koipinahan reikä	N	+?
fereguššat	käyttätyä	V	+?
ferkkon	risukirves& ahkera ja taitava oksien pilkkoja& risukirves& ahkera ja taitava oksien pilkkoja	N	+?
ferot	valmis	Adv	A
fertenvuohta	täytymys	N	+?
fidnáruššat	saalistaa	V	V
fidnestuvvat	toivoa saavansa& onnistua saamaan (neg. yht.)& toivoa saavansa& onnistua saamaan (neg. yht.)	V	+?
fiehta	lapasotka	N	N
fiellu	lauta	N	N
fierra	(ahkion) kaari	N	+?
fievrrádaddat	kuljetella	V	V
fievrridit	kuljettaa	V	V
fihcce	hyi	Interj	Interj
fihkon	viikuna& fiikus& viikuna& fiikus	N	+?
fiidnet	pinota (halkoja)	V	+?
fiidnu	(halko)pino	N	+?
fiilet	viilata	V	V
filttar	kiväärinsuojus	N	+?
finadit	käväistä	V	V
finddar	kampela	N	N
fiŋggodit	sätkytellä	V	V
finihit	käväistä	V	V
firet	nelikko	N	N
firkkal	esiliina	N	N
firrot	suistua (jyrkänteeltä)	V	+?
fiškalit	sivaltaa (esim. köydellä)	V	+?
fiškasaddat	hyöriä	V	V
fiskescizáš	keltavästäräkki	N	N
fiskesdávda	keltatauti	N	N
fiskesrássi	(idän)niittyleinikki	N	+?
fisket	kalastaa (merellä)	V	+?
fisku	kalastus	N	N
fitnet	saalis	N	N
flágga	lippu	N	N
fleahkkaguolli	kalliolla kuivattu kala	N	+?
forminddar	holhooja	N	N
frimearka	postimerkki	N	N
fuikolas	taipuvainen nurisemaan	+?	+?
fuođardit	tehdä rehua (elukoille)	V	+?
fuođar	rehu	N	N
fuođđit	huokealla	Adv	+?
fuoi	hyi	Interj	Interj
fuoikit	voihkia	V	V
fuoikkádit	voihkaista	V	V
fuoikkahit	voihkia (jatkuvasti)	V	+?
fuoikut	voihkia	V	V
fuolahit	huolehtia	V	V
fuolalaš	huolellinen	A	A
fuolkái	sukurakas	+?	A
fuollameahttun	huolimaton	A	+?
fuorástit	huorata	V	V
fuorbma	muotti	N	N
fuorrávuohta	huoruus	N	N
fuos	hus	Interj	Interj
fuotnu	raukka& pahus (lievä kirosana)& raukka& pahus (lievä kirosana)	N	+?
gabbái	jossa on paljon valkkoja	A	+?
gaccastat	lusikallinen	N	N
gaccastat	raapaisu	N	N
gaccastit	raapaista	V	V
gaccepaš	(lapin)tiainen	N	+?
gacceš	sorkkanahka	N	+?
gaccir	niskakuoppa	N	N
gáđaštit	kadehtia	V	V
gáddadas	pari (ripustamista varten yhteensidottuja esineitä)	N	+?
gáddenjuorju	norppa	N	N
gáđđet	kohentaa (tulta)	V	+?
gáddil	rannempaa	Adv|Pr|Po	Adv
gáđffáš	isolumikko	N	+?
gádjalit	varjella	V	V
gádjit	(pikku)kajava	N	+?
