addit – attán   antaa
ruovdi – ruovddi   rauta
ruovgat – *ruovggan   roukua (poron ääntelystä)
ruovttoluotta   takaisin
ruškat – ruškada, #ruškes   ruskea
ruški – ruškki   ruska
ruvssodit – ruvssodan   punastua, tulla punaiseksi
sabet – sabeha   suksi
sadji – saji   paikka, sija
salla – sala   syli
sarrit – sarrida   mustikka
savnnjašit – savnnjašan   pudistella, ravistella
sáhka – sága   juttu, puhe, puheenaihe, kerrottava
sáhttit – sáhtán   voida (olla mahdollista), saattaa
sáidi – sáiddi   sei
sákta – sávtta   mehu
sámil – sámmála   sammal   
sápmelaš – sápmelačča   saamelainen
Sápmi – Sámi   Lappi
sápmi – sámi   saame(lainen), saame-
sávdni – sávnni   sauna
sávza – sávzza   lammas
seaggi – seakki, #seakka   ohut (ei litteistä esineistä)
seahkka – seahka   säkki, pussi
sealgádit – sealgádan   antaa selkään, rökittää
seamma   sama
seammalágan – seammalágana, # =   samanlainen
seammás   samassa, saman tien
seaŋga – seaŋgga   sänky
seavdnjat – seavdnjada, #sevdnjes   pimeä
seavvit – seaván   vilkuttaa
sieđga – sieđgga   paju
siessá – siesá   täti (isän sisar)
sihtat – siđan   pyytää
sii – sin   he (ei kahdesta)
siida – siidda   siita, porokylä
silba – silbba   hopea
silki – silkki   silkki
Sirbmá – Sirpmá   Sirma (paikannimi)
Sire   naisen nimi (Siiri)
sisa   sisään, sisälle
siskkobealde   sisäpuolella
siste   sisällä, -ltä
skadjá – skajá   venevaja
skábmamánnu – -mánu   marraskuu
skáhpi – skábi   pihlaja
skáhppe – skáhpe   kaappi
skálla – skála   kalina, kilinä
skállat – *skálan   kalista, kilistä
skibir – skihpára   kaveri
skier'ri – skierri   vaivaiskoivu
skurbat – skurbban   kopeloida
skuvla – skuvlla   koulu
smávis – smáv'vá, #smávva   hyvin pieni, pikkuinen
smiehttat – smiehtan   miettiä
snuolga – snuolgga   räkä
soahki – soagi   koivu
soai – sudno   he (kaksi)
sof'fá – soffá   sohva
sohka – soga   suku
sohkar – sohkkara   sokeri
sokta – sovtta   vaahto
solon – solona   hammastikku   
somá – somá, #somás   mukava, hauska
sotnabeaivi – soatnabeaivvi   sunnuntai
son – su   hän
spiidni – spiinni   sika
stál'la – stálla   talli
stereot   stereot
stoahkat – stoagan   leikkiä
stoarbma – stoarpma   myrsky
stohpu – stobu   talo, mökki
studeanta – studeantta   opiskelija
stuhkka – stuhka   palanen, kappale
stuŋgehit – stuŋgehan   rynnätä kimppuun
stuollu – stuolu   tuoli
stuoris – stuor'rá, #stuorra   suuri
stuorrut – stuorun   suureta, kasvaa isommaksi
suhkat – sugan   soutaa
suhtadit – suhtadan   kiukutella
suhttat – suhtan   suuttua
suohkat – suohkada, #suhkkes   sakea, tiheä
suohtas – suohttasa, # =   mukava, hauska
suoidnemánnu – -mánu   heinäkuu
suoli   salaa
suolu – sul'lo   saari
suonjar – suotnjara   säde
Suopma – Suoma   Suomi
suoskat – suoskkan   pureskella
suovasbiergu   savuliha
surbmit (mon.)   suurimot
suvrris – suvrása, #suvrra   hapan
šaddat – šattan   kasvaa; tulla joksikin; joutua
šaldi – šalddi   silta
šat   enää
šearrat – šearrada, #šer'res   kirkas
šear'rát – *šear'rán   loistaa, paistaa kirkkaasti
šiega – šiega, # =   kiltti, hyvätapainen
šiehttat – šiehtan   sopia; mahtua
šillju – šilju   piha
šleađgut – *šleađggun   välkkyä
šlundut – šlunddun   masentua
šukkuláde – šukkuláde   suklaa
šuohkkit – šuohkán   huokailla
šuvva – šuva   kohina, suhina
šuvvat – *šuvan   kohista, suhista
telefonnummir   puhelinnumero
telefovdna – telefovnna   puhelin
televišuvdna – televišuvnna   televisio   
tente – tentte   tentti
turista – turistta   turisti
uhcci – uhci, #uhca   pieni
ujostallat – ujostalan   ujostella
uksa – uvssa   ovi
universitehta – universitehta   yliopisto
un'ni – unni, #unna   pieni
ustit – ustiba   ystävä
vahkku – vahku   viikko
vaikko   vaikka
varas – varrasa, # =   tuore
varra – vara   veri
váháš   vähän
váhnemat (mon.)   vanhemmat
váiban, #váiban   väsynyt (oik. partis. perf. verbistä váibat)
váibat – váibban   väsyä
váile   vaille (kellonaikaa ilmaistaessa)
váivi, #váivves   ikävä, vaivalloinen
váldit – válddán   ottaa
válljet – válljen   valita
váralaš – váralačča, # =   vaarallinen
várra   kai, varmaankin
várri – vári   vaara, vuori, tunturi
várta – vártta   vartti, neljännestunti
vástidit – vástidan   vastata
váttis – váddása, #váttes ~ #váttis   vaikea
vázzilit – vázzilit   lähteä kävelemään
vázzit – váccán   kävellä; käydä (koulua tms.)
veadjit – veaján   jaksaa; voida (hyvin, huonosti, tms.)
veahčir – veahčira   vasara   
veahkehit – veahkehan   auttaa
veahkki – veahki   apu
veajuheapmi   voimaton
veal'lát – veal'lán   maata
vejolaš – vejolačča, # =   mahdollinen
vel   vielä
velá   vielä
ver'rát – ver'ráha   veräjä
viđát – viđáda   viides
viehka   melko, aika
viehkat – viegan   juosta (kaksijalkaisista)
vielgat – vielgada, #vilges   valkoinen
viellja – vielja   veli
vielppis – vielpá   koiranpentu
vierru – vieru   tapa
viessu – viesu   talo
viežžat – vieččan   hakea
vihtta – viđa   viisi
viimmat   viimein
vilbealle – vilbeale   miesserkku
visot   kaikki
vis'sa   kai, varmaankin
visti – vistti   asunto
viššal – viššala, #viššalis   ahkera, viitseliäs
viššat – višan   viitsiä
Vulleš   (suvun nimi)
vulobealde   alapuolella
vulos   alas
vulosguvlui   alaspäin
vuoddját – vuoddján   lähteä ajamaan
vuodja – vuoja   voi; (ei-kiinteä) rasva
vuodjit – vuoján   ajaa
vuoigŋat – vuoiŋŋan   hengittää
vuoiŋŋastit – vuoiŋŋastan   levätä
vuojehit – vuojehan   ajaa (takaa, edellään)
vuokta – vuovtta   hius
vuolde   alla, alta
vuolgga – vuolgaga   lähtö   
vuolgit – vuolggán   lähteä, mennä
vuolimus – vuolimusa   alimmainen, alin
vuolla – vuola   olut
vuollái   alle
vuollegaš – vuolegačča, #vuollegis   matala (ei vedestä)
vuolšut – *vuolššun   tulehtua
vuoni – vuotnáma   anoppi
vuordit – vuorddán   odottaa
vuorru – vuoru   vuoro
vuos   vielä; ensin
vuossárga – vuossárgga   maanantai
vuos'su – vuossu   palje, palkeet
vuostá   vastaan
vuostá – vuosttá   juusto
vuosttas ~ vuosttaš   ensimmäinen
vuoš'šat – vuoššan   keittää
vuot   taas
vuovdi – vuovddi   metsä
vuovdi – vuovdi   myyjä
vuovdit – vuovddán   myydä
 


